,Unique ID ,Parent ID,Name,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5
,240,236,Juice/Drink Concentrate,Consumer Packaged Goods,Edible,Beverages,Juices,Juice/Drink Concentrate
,241,222,Non-Fruit Drinks,Consumer Packaged Goods,Edible,Beverages,Non-Fruit Drinks,
,242,241,Non-Fruit Drinks,Consumer Packaged Goods,Edible,Beverages,Non-Fruit Drinks,Non-Fruit Drinks
,243,241,Powdered Milk,Consumer Packaged Goods,Edible,Beverages,Non-Fruit Drinks,Powdered Milk
,244,222,Sports/Energy Drinks,Consumer Packaged Goods,Edible,Beverages,Sports/Energy Drinks,
,245,244,Energy Drinks,Consumer Packaged Goods,Edible,Beverages,Sports/Energy Drinks,Energy Drinks
,246,244,Sports Drinks,Consumer Packaged Goods,Edible,Beverages,Sports/Energy Drinks,Sports Drinks
,247,222,Water,Consumer Packaged Goods,Edible,Beverages,Water,
,248,247,Bottled Water,Consumer Packaged Goods,Edible,Beverages,Water,Bottled Water
,249,221,Frozen,Consumer Packaged Goods,Edible,Frozen,,
,250,249,Frozen Baked Goods,Consumer Packaged Goods,Edible,Frozen,Frozen Baked Goods,
,251,250,Bread/Dough,Consumer Packaged Goods,Edible,Frozen,Frozen Baked Goods,Bread/Dough
,252,250,Cookies,Consumer Packaged Goods,Edible,Frozen,Frozen Baked Goods,Cookies
,253,250,Pies,Consumer Packaged Goods,Edible,Frozen,Frozen Baked Goods,Pies
,254,249,Frozen Beverages,Consumer Packaged Goods,Edible,Frozen,Frozen Beverages,
,255,254,Coffee Creamer,Consumer Packaged Goods,Edible,Frozen,Frozen Beverages,Coffee Creamer
,256,254,Juices,Consumer Packaged Goods,Edible,Frozen,Frozen Beverages,Juices
,257,249,Frozen Desserts,Consumer Packaged Goods,Edible,Frozen,Frozen Desserts,
,258,257,Desserts/Toppings,Consumer Packaged Goods,Edible,Frozen,Frozen Desserts,Desserts/Toppings
,259,257,Ice Cream/Sherbet,Consumer Packaged Goods,Edible,Frozen,Frozen Desserts,Ice Cream/Sherbet
,260,257,Novelties ,Consumer Packaged Goods,Edible,Frozen,Frozen Desserts,Novelties 
,261,249,Frozen Fruits & Vegetables,Consumer Packaged Goods,Edible,Frozen,Frozen Fruits & Vegetables,
,262,261,Corn on the Cob,Consumer Packaged Goods,Edible,Frozen,Frozen Fruits & Vegetables,Corn on the Cob
,263,261,Fruit,Consumer Packaged Goods,Edible,Frozen,Frozen Fruits & Vegetables,Fruit
,264,261,Plain Vegetables,Consumer Packaged Goods,Edible,Frozen,Frozen Fruits & Vegetables,Plain Vegetables
,265,261,Potatoes/Onions,Consumer Packaged Goods,Edible,Frozen,Frozen Fruits & Vegetables,Potatoes/Onions
,266,261,Prepared Vegetables,Consumer Packaged Goods,Edible,Frozen,Frozen Fruits & Vegetables,Prepared Vegetables
,267,249,Frozen Meals,Consumer Packaged Goods,Edible,Frozen,Frozen Meals,
,268,267,Breakfast Food,Consumer Packaged Goods,Edible,Frozen,Frozen Meals,Breakfast Food
,269,267,Dinners/Entrees,Consumer Packaged Goods,Edible,Frozen,Frozen Meals,Dinners/Entrees
,270,267,Pasta,Consumer Packaged Goods,Edible,Frozen,Frozen Meals,Pasta
,271,267,Pizza,Consumer Packaged Goods,Edible,Frozen,Frozen Meals,Pizza
,272,267,Soups/Sides/Other,Consumer Packaged Goods,Edible,Frozen,Frozen Meals,Soups/Sides/Other
,273,349,Frozen Meat/Poultry/Seafood ,Consumer Packaged Goods,Edible,Frozen,Frozen Meat/Poultry/Seafood ,
,274,273,Meat,Consumer Packaged Goods,Edible,Frozen,Frozen Meat/Poultry/Seafood ,Meat
,275,273,Poultry,Consumer Packaged Goods,Edible,Frozen,Frozen Meat/Poultry/Seafood ,Poultry
,276,273,Processed Poultry,Consumer Packaged Goods,Edible,Frozen,Frozen Meat/Poultry/Seafood ,Processed Poultry
,277,273,Seafood,Consumer Packaged Goods,Edible,Frozen,Frozen Meat/Poultry/Seafood ,Seafood
,278,249,Frozen Snacks,Consumer Packaged Goods,Edible,Frozen,Frozen Snacks,
,279,278,Appetizers/Snack Rolls,Consumer Packaged Goods,Edible,Frozen,Frozen Snacks,Appetizers/Snack Rolls
,280,278,Other Snacks,Consumer Packaged Goods,Edible,Frozen,Frozen Snacks,Other Snacks
,281,249,Other Frozen,Consumer Packaged Goods,Edible,Frozen,Other Frozen,
,282,281,Baby Food,Consumer Packaged Goods,Edible,Frozen,Other Frozen,Baby Food
,283,281,Other Food,Consumer Packaged Goods,Edible,Frozen,Other Frozen,Other Food
,284,221,General Food,Consumer Packaged Goods,Edible,General Food,,
,285,284,Baby Food,Consumer Packaged Goods,Edible,General Food,Baby Food,
,286,285,Baby Food,Consumer Packaged Goods,Edible,General Food,Baby Food,Baby Food
,287,285,Baby Formula/Electrolytes,Consumer Packaged Goods,Edible,General Food,Baby Food,Baby Formula/Electrolytes
,288,284,Bakery,Consumer Packaged Goods,Edible,General Food,Bakery,
,289,288,Bagels/Bialys,Consumer Packaged Goods,Edible,General Food,Bakery,Bagels/Bialys
,290,288,Bakery Snacks,Consumer Packaged Goods,Edible,General Food,Bakery,Bakery Snacks
,291,288,English Muffins,Consumer Packaged Goods,Edible,General Food,Bakery,English Muffins
,292,288,Fresh Bread & Rolls,Consumer Packaged Goods,Edible,General Food,Bakery,Fresh Bread & Rolls
,293,288,Pastry/Doughnuts,Consumer Packaged Goods,Edible,General Food,Bakery,Pastry/Doughnuts
,294,288,Pies & Cakes,Consumer Packaged Goods,Edible,General Food,Bakery,Pies & Cakes
,295,284,Baking,Consumer Packaged Goods,Edible,General Food,Baking,
,296,295,Baking Cups/Paper,Consumer Packaged Goods,Edible,General Food,Baking,Baking Cups/Paper
,297,295,Baking Mixes,Consumer Packaged Goods,Edible,General Food,Baking,Baking Mixes
,298,295,Baking Needs,Consumer Packaged Goods,Edible,General Food,Baking,Baking Needs
,299,295,Baking Nuts,Consumer Packaged Goods,Edible,General Food,Baking,Baking Nuts
,300,295,Baking Syrum/Molasses ,Consumer Packaged Goods,Edible,General Food,Baking,Baking Syrum/Molasses 
,301,295,Dessert Toppings,Consumer Packaged Goods,Edible,General Food,Baking,Dessert Toppings
