Content 1.0 Unique ID	Content 1.0 IAB Category	Content 1.0 Tier	Content 2.0 Unique ID	Content 2.0 Parent	Content 2.0 Category	Content 2.0 Tier 1	Content 2.0 Tier 2	Content 2.0 Tier 3	Content 2.0 Tier 4	Imperfect Mapping
IAB12	News	Tier 1	379		News and Politics	News and Politics				
IAB12-1	International News	Tier 2	382	379	International News	News and Politics	International News			
IAB12-2	National News	Tier 2	385	379	National News	News and Politics	National News			
IAB12-3	Local News	Tier 2	384	379	Local News	News and Politics	Local News			
IAB13	Personal Finance	Tier 1	391		Personal Finance	Personal Finance				
IAB13-1	Beginning Investing	Tier 2	410	391	Personal Investing	Personal Finance	Personal Investing			
IAB13-2	Credit/Debt & Loans	Tier 2	405	391	Personal Debt	Personal Finance	Personal Debt			
IAB13-3	Financial News	Tier 2	391		Personal Finance	Personal Finance				
IAB13-4	Financial Planning	Tier 2	396	391	Financial Planning	Personal Finance	Financial Planning			
IAB13-5	Hedge Fund	Tier 2	411	410	Hedge Funds	Personal Finance	Personal Investing	Hedge Funds		
IAB13-6	Insurance	Tier 2	398	391	Insurance	Personal Finance	Insurance			
IAB13-7	Investing	Tier 2	410	391	Personal Investing	Personal Finance	Personal Investing			
IAB13-8	Mutual Funds	Tier 2	412	410	Mutual Funds	Personal Finance	Personal Investing	Mutual Funds		
IAB13-9	Options	Tier 2	413	410	Options	Personal Finance	Personal Investing	Options		
IAB13-10	Retirement Planning	Tier 2	416	391	Retirement Planning	Personal Finance	Retirement Planning			
IAB13-11	Stocks	Tier 2	414	410	Stocks and Bonds	Personal Finance	Personal Investing	Stocks and Bonds		
IAB13-12	Tax Planning	Tier 2	415	391	Personal Taxes	Personal Finance	Personal Taxes			
IAB14	Society	Tier 1	186		Family and Relationships	Family and Relationships				
IAB14-1	Dating	Tier 2	188	186	Dating	Family and Relationships	Dating			
IAB14-2	Divorce Support	Tier 2	189	186	Divorce	Family and Relationships	Divorce			
IAB14-3	Gay Life	Tier 2	186		Family and Relationships	Family and Relationships				
IAB14-4	Marriage	Tier 2	191	186	Marriage and Civil Unions	Family and Relationships	Marriage and Civil Unions			
IAB14-5	Senior Living	Tier 2	190	186	Eldercare	Family and Relationships	Eldercare			
IAB14-6	Teens	Tier 2	198	192	Parenting Teens	Family and Relationships	Parenting	Parenting Teens		
IAB14-7	Weddings	Tier 2	165	163	Wedding	Events and Attractions	Personal Celebrations & Life Events	Wedding		
IAB14-8	Ethnic Specific	Tier 2			Family and Relationships	Family and Relationships				
IAB15	Science	Tier 1	464		Science	Science				
IAB15-1	Astrology	Tier 2	456	453	Astrology	Religion & Spirituality	Astrology			
IAB15-2	Biology	Tier 2	465	464	Biological Sciences	Science	Biological Sciences			
IAB15-3	Chemistry	Tier 2	466	464	Chemistry	Science	Chemistry			
IAB15-4	Geology	Tier 2	470	464	Geology	Science	Geology			
IAB15-5	Paranormal Phenomena	Tier 2	244	239	Paranormal Phenomena	Hobbies & Interests	Paranormal Phenomena			
IAB15-6	Physics	Tier 2	471	464	Physics	Science	Physics			
IAB15-7	Space/Astronomy	Tier 2	472	464	Space and Astronomy	Science	Space and Astronomy			
IAB15-8	Geography	Tier 2	469	464	Geography	Science	Geography			
IAB15-9	Botany	Tier 2	465	464	Biological Sciences	Science	Biological Sciences			
IAB15-10	Weather	Tier 2	390	379	Weather	News and Politics	Weather			
IAB16	Pets	Tier 1	422		Pets	Pets				
IAB16-1	Aquariums	Tier 2	426	422	Fish and Aquariums	Pets	Fish and Aquariums			
IAB16-2	Birds	Tier 2	423	422	Birds	Pets	Birds			
IAB16-3	Cats	Tier 2	424	422	Cats	Pets	Cats			
IAB16-4	Dogs	Tier 2	425	422	Dogs	Pets	Dogs			
IAB16-5	Large Animals	Tier 2	427	422	Large Animals	Pets	Large Animals			
IAB16-6	Reptiles	Tier 2	429	422	Reptiles	Pets	Reptiles			
IAB16-7	Veterinary Medicine	Tier 2	430	422	Veterinary Medicine	Pets	Veterinary Medicine			
IAB17	Sports	Tier 1	483		Sports	Sports				
IAB17-1	Auto Racing	Tier 2	518	483	Auto Racing	Sports	Auto Racing			
IAB17-2	Baseball	Tier 2	545	483	Baseball	Sports	Baseball			
IAB17-3	Bicycling	Tier 2	492	483	Cycling	Sports	Cycling			
IAB17-4	Bodybuilding	Tier 2	549	483	Bodybuilding	Sports	Bodybuilding			
IAB17-5	Boxing	Tier 2	485	483	Boxing	Sports	Boxing			
IAB17-6	Canoeing/Kayaking	Tier 2	499	498	Canoeing and Kayaking	Sports	Extreme Sports	Canoeing and Kayaking		
IAB17-7	Cheerleading	Tier 2	486	483	Cheerleading	Sports	Cheerleading			
IAB17-8	Climbing	Tier 2	500	498	Climbing	Sports	Extreme Sports	Climbing		
IAB17-9	Cricket	Tier 2	491	483	Cricket	Sports	Cricket			
IAB17-10	Figure Skating	Tier 2	510	483	Figure Skating	Sports	Figure Skating			
IAB17-11	Fly Fishing	Tier 2	511	483	Fishing Sports	Sports	Fishing Sports			
IAB17-12	Football	Tier 2	484	483	American Football	Sports	American Football			
IAB17-13	Freshwater Fishing	Tier 2	511	483	Fishing Sports	Sports	Fishing Sports			
IAB17-14	Game & Fish	Tier 2	511	483	Fishing Sports	Sports	Fishing Sports			
IAB17-15	Golf	Tier 2	512	483	Golf	Sports	Golf			
IAB17-16	Horse Racing	Tier 2	497	483	Horse Racing	Sports	Equine Sports	Horse Racing		
IAB17-17	Horses	Tier 2	496	483	Equine Sports	Sports	Equine Sports			
