Ad Product 2.0 --> Content 1.0								
Ad Product 2.0					Content 1.0			
Name	Unique ID	Tier 1	Tier 2	Tier 3	Name	Content 1.0 ID	Tier 1	Tier 2
Frozen Desserts	1158	Consumer Packaged Goods	Frozen	Frozen Desserts	Food & Drink	IAB8	Food & Drink	
Frozen Fruits and Vegetables	1159	Consumer Packaged Goods	Frozen	Frozen Fruits and Vegetables	Food & Drink	IAB8	Food & Drink	
Frozen Juices	1160	Consumer Packaged Goods	Frozen	Frozen Juices	Food & Drink	IAB8	Food & Drink	
Frozen Meals	1161	Consumer Packaged Goods	Frozen	Frozen Meals	Food & Drink	IAB8	Food & Drink	
Frozen Meat/Poultry/Seafood	1162	Consumer Packaged Goods	Frozen	Frozen Meat/Poultry/Seafood	Food & Drink	IAB8	Food & Drink	
Frozen Snacks	1163	Consumer Packaged Goods	Frozen	Frozen Snacks	Food & Drink	IAB8	Food & Drink	
Other Frozen	1164	Consumer Packaged Goods	Frozen	Other Frozen	Food & Drink	IAB8	Food & Drink	
General Food	1165	Consumer Packaged Goods	General Food		Food & Drink	IAB8	Food & Drink	
Baby Food	1166	Consumer Packaged Goods	General Food	Baby Food	Food & Drink	IAB8	Food & Drink	
Bakery	1167	Consumer Packaged Goods	General Food	Bakery	Desserts & Baking	IAB8-8	Food & Drink	Desserts & Baking
Baking	1168	Consumer Packaged Goods	General Food	Baking	Desserts & Baking	IAB8-8	Food & Drink	Desserts & Baking
Breakfast	1169	Consumer Packaged Goods	General Food	Breakfast	Food & Drink	IAB8	Food & Drink	
Candy	1170	Consumer Packaged Goods	General Food	Candy	Food & Drink	IAB8	Food & Drink	
Condiments and Sauces	1171	Consumer Packaged Goods	General Food	Condiments and Sauces	Food & Drink	IAB8	Food & Drink	
Cookies and Crackers	1172	Consumer Packaged Goods	General Food	Cookies and Crackers	Food & Drink	IAB8	Food & Drink	
Fruit	1173	Consumer Packaged Goods	General Food	Fruit	Food & Drink	IAB8	Food & Drink	
Meals	1174	Consumer Packaged Goods	General Food	Meals	Food & Drink	IAB8	Food & Drink	
Snacks	1175	Consumer Packaged Goods	General Food	Snacks	Food & Drink	IAB8	Food & Drink	
Vegetables	1176	Consumer Packaged Goods	General Food	Vegetables	Food & Drink	IAB8	Food & Drink	
General Merchandise	1177	Consumer Packaged Goods	General Merchandise		Home & Garden	IAB10	Home & Garden	
Grooming Supplies	1178	Consumer Packaged Goods	Grooming Supplies		Beauty	IAB18-1	Style & Fashion	Beauty
Hair Care	1179	Consumer Packaged Goods	Hair Care		Beauty	IAB18-1	Style & Fashion	Beauty
Hair Accessories	1180	Consumer Packaged Goods	Hair Care	Hair Accessories	Beauty	IAB18-1	Style & Fashion	Beauty
Hair Coloring	1181	Consumer Packaged Goods	Hair Care	Hair Coloring	Beauty	IAB18-1	Style & Fashion	Beauty
Hair Conditioner	1182	Consumer Packaged Goods	Hair Care	Hair Conditioner	Beauty	IAB18-1	Style & Fashion	Beauty
