Content Taxonomy 1.0 Unique ID	Content Taxonomy 1.0 Tier 1 Value	Content Taxonomy 1.0 Tier 2 Value	Ad Product Taxonomy 2.0 Unique ID	Ad Product Taxonomy 2.0 Tier 1 Value	Ad Product Taxonomy 2.0 Tier 2 Value	Ad Product Taxonomy 2.0 Tier 3 Value
IAB18-5	Style & Fashion	Clothing	1059	Clothing and Accessories	Clothing	
IAB18-6	Style & Fashion	Accessories	1068	Clothing and Accessories	Clothing Accessories	
IAB19	Technology & Computing		1097	Consumer Electronics		
IAB19-1	Technology & Computing	3-D Graphics	1097	Consumer Electronics		
IAB19-2	Technology & Computing	Animation	1097	Consumer Electronics		
IAB19-3	Technology & Computing	Antivirus Software	1097	Consumer Electronics		
IAB19-4	Technology & Computing	C/C++	1097	Consumer Electronics		
IAB19-5	Technology & Computing	Cameras & Camcorders	1102	Consumer Electronics	Cameras and Photo	Cameras
IAB19-6	Technology & Computing	Cell Phones	1114	Consumer Electronics	Mobile Phones and Accessories	
IAB19-7	Technology & Computing	Computer Certification	1097	Consumer Electronics		
IAB19-8	Technology & Computing	Computer Networking	1115	Consumer Electronics	Networking	
IAB19-9	Technology & Computing	Computer Peripherals	1097	Consumer Electronics		
IAB19-10	Technology & Computing	Computer Reviews	1097	Consumer Electronics		
IAB19-11	Technology & Computing	Data Centers	1097	Consumer Electronics		
IAB19-12	Technology & Computing	Databases	1097	Consumer Electronics		
IAB19-13	Technology & Computing	Desktop Publishing	1097	Consumer Electronics		
IAB19-14	Technology & Computing	Desktop Video	1097	Consumer Electronics		
IAB19-15	Technology & Computing	Email	1097	Consumer Electronics		
IAB19-16	Technology & Computing	Graphics Software	1097	Consumer Electronics		
IAB19-17	Technology & Computing	Home Video/DVD	1097	Consumer Electronics		
IAB19-18	Technology & Computing	Internet Technology	1097	Consumer Electronics		
IAB19-19	Technology & Computing	Java	1097	Consumer Electronics		
IAB19-20	Technology & Computing	JavaScript	1097	Consumer Electronics		
IAB19-21	Technology & Computing	Mac Support	1097	Consumer Electronics		
IAB19-22	Technology & Computing	MP3/MIDI	1097	Consumer Electronics		
IAB19-23	Technology & Computing	Net Conferencing	1097	Consumer Electronics		
IAB19-24	Technology & Computing	Net for Beginners	1097	Consumer Electronics		
IAB19-25	Technology & Computing	Network Security	1097	Consumer Electronics		
IAB19-26	Technology & Computing	Palmtops/PDAs	1097	Consumer Electronics		
IAB19-27	Technology & Computing	PC Support	1097	Consumer Electronics		
IAB19-28	Technology & Computing	Portable	1097	Consumer Electronics		
IAB19-29	Technology & Computing	Entertainment	1097	Consumer Electronics		
IAB19-30	Technology & Computing	Shareware/Freeware	1097	Consumer Electronics		
IAB19-31	Technology & Computing	Unix	1097	Consumer Electronics		
IAB19-32	Technology & Computing	Visual Basic	1097	Consumer Electronics		
IAB19-33	Technology & Computing	Web Clip Art	1097	Consumer Electronics		
IAB19-34	Technology & Computing	Web Design/HTML	1097	Consumer Electronics		
IAB19-35	Technology & Computing	Web Search	1097	Consumer Electronics		
IAB19-36	Technology & Computing	Windows	1097	Consumer Electronics		
IAB20	Travel		1529	Travel and Tourism		
IAB20-1	Travel	Adventure Travel	1529	Travel and Tourism		
IAB20-2	Travel	Africa	1529	Travel and Tourism		
